"INCHIKEY","SMILES","ID","CAS","FORMULA","MONOISOTOPIC_MASS","Type","name","parent","transformation","generation","biosystem","REF","NumHDonors","NumHAcceptors"
"FVFVNNKYKYZTJU-UHFFFAOYSA-N","Nc1nc(N)nc(Cl)n1","15",NA,"C3H4ClN5","145.015522808","TP","Atrazine-TP12; Atrazine-TP10; Atrazine-TP6-TP10; Atrazine-TP8-TP3; Atrazine-TP9-TP3; Atrazine-TP11-TP9; Atrazine-TP8-1-TP3; Atrazine-TP9-1-TP3; Atrazine-TP14-TP3; Atrazine-TP9-2-TP3; Atrazine-TP18-TP10; Atrazine-TP14-1-TP3; Atrazine-TP11-1-TP9; Atrazine-TP9-3-TP3; 6-Chloro-1,3,5-triazine-2,4-diamine","Atrazine","s-Triazine Side Chain Photochemical N-dealkylation; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; Human metabolism/Mammalian fetal metabolism/Mammalian metabolism","2; 1","NA; ENVMICRO; Human/Mammal","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.5281/zenodo.3827487/PMID:23958493",2,5
"WBEKRMVYCWRRDJ-UHFFFAOYSA-N","CC(C)Nc1ncnc(N)n1","16",NA,"C6H11N5","153.101445352","TP","Atrazine-TP13; Atrazine-TP7; Atrazine-TP6-TP8; Atrazine-TP8-TP1; Atrazine-TP10-TP3; Atrazine-TP8-1-TP1; Atrazine-TP16-TP2; Atrazine-TP10-1-TP3","Atrazine","Aromatic Photohydrodehalogenation; s-Triazine Side Chain Photochemical N-dealkylation; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0029; EAWAG_RULE_BT0067_PATTERN1","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,5
"IVENSCMCQBJAKW-UHFFFAOYSA-N","CCNc1nc(N)nc(Cl)n1","18",NA,"C5H8ClN5","173.046822936","TP","Atrazine-TP14; Atrazine-TP4; Atrazine-TP18-TP4; 6-deisopropyl atrazine; Atrazine-desisopropyl; Deisopropylatrazine","Atrazine","s-Triazine Side Chain Photochemical N-dealkylation; N-aryl Amide Photohydrolysis; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; Environmental; Desisopropyl; Environmental Transformation; Human metabolism/In vitro mammalian metabolism/Mammalian metabolism","1; 2","NA; ENVMICRO; soil; NULL; Human/Mammal (in vitro)/Mammal","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env; 10.1021/acs.est.1c00466; 10.1007/s13361-017-1797-6; 10.1016/j.watres.2019.114972; 10.5281/zenodo.3827487",2,5
"ZCMOXKOUKFOYFB-UHFFFAOYSA-N","CCNc1ncnc(N)n1","22",NA,"C5H9N5","139.085795288","TP","Atrazine-TP15; Atrazine-TP8; Atrazine-TP14-TP1; Atrazine-TP16-TP3; Atrazine-TP17-TP3; Atrazine-TP18-TP8; Atrazine-TP14-1-TP1; Atrazine-TP17-1-TP3","Atrazine","Aromatic Photohydrodehalogenation; s-Triazine Side Chain Photochemical N-dealkylation; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0029; EAWAG_RULE_BT0067_PATTERN1","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,5
"DWWKJVDRGAIXJI-UHFFFAOYSA-N","CCNc1ncnc(NC(C)C)n1","23",NA,"C8H15N5","181.13274548","TP","Atrazine-TP16; Atrazine-TP1","Atrazine","Aromatic Photohydrodehalogenation; EAWAG_RULE_BT0029","1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,5
"HAOFHOYPNPJTBJ-UHFFFAOYSA-N","CCNc1ncnc(NC(C)=O)n1","27",NA,"C7H11N5O","181.096359972","TP","Atrazine-TP17; Atrazine-TP18-TP1","Atrazine","s-Triazine Side Chain N-isopropyl Photooxidation to Ketone; Aromatic Photohydrodehalogenation; EAWAG_RULE_BT0029","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,5
"PXIUCQKUBNRZIR-UHFFFAOYSA-N","CCNc1nc(Cl)nc(NC(C)=O)n1","28",NA,"C7H10ClN5O","215.05738762","TP","Atrazine-TP18","Atrazine","s-Triazine Side Chain N-isopropyl Photooxidation to Ketone","1","NA","CTS_combined_photolysis_abiotic_hydrolysis",2,5
"AUBFVSRSNGQJKK-UHFFFAOYSA-N","CCc1cccc(C)c1NC(C)COCC(O)=O","2",NA,"C14H21NO3","251.152143532","TP","S-Metolachlor-TP2; S-Metolachlor-TP1-TP4","S-Metolachlor","Lactam Hydrolysis; EAWAG_RULE_BT0430","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,3
"FOCAUTSVDIKZOP-UHFFFAOYSA-N","OC(=O)CCl","3",NA,"C2H3ClO2","93.982157016","TP","S-Metolachlor-TP3; S-Metolachlor-TP39","S-Metolachlor","N-aryl Amide Photohydrolysis; EAWAG_RULE_BT0067_PATTERN1","1; 2","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",1,1
"AEMRFAOFKBGASW-UHFFFAOYSA-N","OCC(O)=O","4",NA,"C2H4O3","76.016043988","TP","S-Metolachlor-TP4; S-Metolachlor-TP15; Atrazine-TP2-TP17; Atrazine-TP5-TP16; Atrazine-TP6-TP16; Atrazine-TP2-1-TP17; Atrazine-TP9-TP9; Atrazine-TP10-TP8; Atrazine-TP11-TP8; Atrazine-TP9-1-TP9; Atrazine-TP9-2-TP9; Atrazine-TP10-1-TP8; Atrazine-TP17-TP8; Atrazine-TP18-TP16; Atrazine-TP5-1-TP16; Atrazine-TP11-1-TP8; Atrazine-TP9-3-TP9; Atrazine-TP17-1-TP8; S-Metolachlor-TP1-TP15; S-Metolachlor-TP2-TP2; S-Metolachlor-TP3-TP1; S-Metolachlor-TP6-TP13","S-Metolachlor","Halogenated Aliphatics: Nucleophilic Substitution (no adjacent X); N-aryl Amide Photohydrolysis; EAWAG_RULE_BT0430; EAWAG_RULE_BT0022_PATTERN1; EAWAG_RULE_BT0332; EAWAG_RULE_BT0067_PATTERN1; EAWAG_RULE_BT0023_PATTERN2","2; 1","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",2,2
"YXWIRQHVEQIJOV-UHFFFAOYSA-N","CCc1cccc(C)c1NC(C)COC","5",NA,"C13H21NO","207.162314292","TP","S-Metolachlor-TP5; S-Metolachlor-TP6-TP5","S-Metolachlor","N-aryl Amide Photohydrolysis; EAWAG_RULE_BT0430","1; 2","NA; ENVMICRO","CTS_combined_photolysis_abiotic_hydrolysis; BioTransformer_env",1,2
"YRHZCHBPHOEWCA-UHFFFAOYSA-N","CCc1cccc(C)c1N(C(C)COC)C(=O)CO","6",NA,"C15H23NO3","265.167793596","TP","S-Metolachlor-TP6","S-Metolachlor","Halogenated Aliphatics: Nucleophilic Substitution (no adjacent X)","1","NA","CTS_combined_photolysis_abiotic_hydrolysis",1,3
"RENJVZBIVKQIPU-UHFFFAOYSA-N","C1(=NC(Cl)=NC(NC(C)C)=N1)O","15",NA,"C6H9ClN4O","188.046488588","TP","Atrazine-TP11; Atrazine-TP6-TP14; Atrazine-TP8-TP4; Atrazine-TP8-1-TP4","Atrazine","EAWAG_RULE_BT0330_PATTERN3","2; 1","ENVMICRO","BioTransformer_env",2,5
"NZRYDMXBGUDOMX-UHFFFAOYSA-N","CCNC1=NC(Cl)=NC(=N1)O","20",NA,"C5H7ClN4O","174.030838524","TP","Atrazine-TP13; Atrazine-TP14-TP4; Atrazine-TP18-TP14; Atrazine-TP14-1-TP4","Atrazine","EAWAG_RULE_BT0330_PATTERN3","2; 1","ENVMICRO","BioTransformer_env",2,5
"XLSMFKSTNGKWQX-UHFFFAOYSA-N","C(C)(CO)=O","22",NA,"C3H6O2","74.036779432","TP","Atrazine-TP15; Atrazine-TP1-TP13; Atrazine-TP2-TP14; Atrazine-TP3-TP7; Atrazine-TP6-TP9; Atrazine-TP2-1-TP14; Atrazine-TP8-TP7; Atrazine-TP10-TP5; Atrazine-TP8-1-TP7; Atrazine-TP3-1-TP7; Atrazine-TP13-TP3; Atrazine-TP16-TP7; Atrazine-TP10-1-TP5; Atrazine-TP13-1-TP3; S-Metolachlor-TP2-TP10; S-Metolachlor-TP5-TP9; S-Metolachlor-TP5-1-TP9","Atrazine","EAWAG_RULE_BT0332; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",1,2
"QUSNBJAOOMFDIB-UHFFFAOYSA-N","CCN","23",NA,"C2H7N","45.057849224","TP","Atrazine-TP16; Atrazine-TP1-TP1; Atrazine-TP4-TP1; Atrazine-TP5-TP1; Atrazine-TP14-TP10; Atrazine-TP4-1-TP1; Atrazine-TP18-TP17; Atrazine-TP5-1-TP1; Atrazine-TP14-1-TP10","Atrazine","EAWAG_RULE_BT0061","2; 1","ENVMICRO","BioTransformer_env",1,1
"DBFMBHXVWIURSV-UHFFFAOYSA-N","C1(=NC(=NC(NC(C)C)=N1)O)O","24",NA,"C6H10N4O2","170.08037556","TP","Atrazine-TP17; Atrazine-TP1-TP2; Atrazine-TP2-TP3; Atrazine-TP3-TP5; Atrazine-TP6-TP19; Atrazine-TP2-1-TP3; Atrazine-TP8-TP12; Atrazine-TP8-1-TP12; Atrazine-TP3-1-TP5","Atrazine","EAWAG_RULE_BT0061; EAWAG_RULE_BT0330_PATTERN3; EAWAG_RULE_BT0330_PATTERN4","2; 1","ENVMICRO","BioTransformer_env",3,6
"ILHRXTGGTUPFJR-UHFFFAOYSA-N","CCNC1=NC(=NC(=N1)O)O","25",NA,"C5H8N4O2","156.064725496","TP","Atrazine-TP18; Atrazine-TP1-TP3; Atrazine-TP4-TP5; Atrazine-TP5-TP3; Atrazine-TP14-TP12; Atrazine-TP4-1-TP5; Atrazine-TP18-TP19; Atrazine-TP5-1-TP3; Atrazine-TP14-1-TP12","Atrazine","EAWAG_RULE_BT0061; EAWAG_RULE_BT0330_PATTERN3; EAWAG_RULE_BT0330_PATTERN4","2; 1","ENVMICRO","BioTransformer_env",3,6
"JJWLVOIRVHMVIS-UHFFFAOYSA-N","NC(C)C","26",NA,"C3H9N","59.073499288","TP","Atrazine-TP19; Atrazine-TP1-TP4; Atrazine-TP2-TP1; Atrazine-TP3-TP1; Atrazine-TP6-TP17; Atrazine-TP2-1-TP1; Atrazine-TP8-TP10; Atrazine-TP8-1-TP10; Atrazine-TP3-1-TP1","Atrazine","EAWAG_RULE_BT0061","2; 1","ENVMICRO","BioTransformer_env",1,1
"YRHZCHBPHOEWCA-LBPRGKRZSA-N","CCC1=CC=CC(C)=C1N(C(=O)CO)[C@@H](C)COC","1",NA,"C15H23NO3","265.167793596","TP","S-Metolachlor-TP1","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","1","ENVMICRO","BioTransformer_env",1,3
"OKKJLVBELUTLKV-UHFFFAOYSA-N","CO","3",NA,"CH4O","32.026214748","TP","S-Metolachlor-TP3; S-Metolachlor-TP5-TP2; S-Metolachlor-TP6-TP16; S-Metolachlor-TP5-1-TP2","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","1; 2","ENVMICRO","BioTransformer_env",1,1
"RNRZTRIOAPZEME-NSHDSACASA-N","CCC1=CC=CC(C)=C1N(C(=O)CCl)[C@@H](C)CO","4",NA,"C14H20ClNO2","269.11825656","TP","S-Metolachlor-TP4","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","1","ENVMICRO","BioTransformer_env",1,2
"RHQOAOWAVCKBEK-PXYINDEMSA-N","CC(C1=CC=CC(C)=C1N(C(=O)CCl)[C@@H](C)COC)O","7",NA,"C15H22ClNO3","299.128821244","TP","S-Metolachlor-TP7","S-Metolachlor","EAWAG_RULE_BT0242_PATTERN3","1","ENVMICRO","BioTransformer_env",1,3
"SMINYPCTNJDYGK-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1NC(=O)CCl","8",NA,"C11H14ClNO","211.076391748","TP","S-Metolachlor-TP8","S-Metolachlor","EAWAG_RULE_BT0243","1; 2","ENVMICRO","BioTransformer_env",1,1
"ARXJGSRGQADJSQ-UHFFFAOYSA-N","C(C)(COC)O","9",NA,"C4H10O2","90.06807956","TP","S-Metolachlor-TP9; S-Metolachlor-TP6-TP4","S-Metolachlor","EAWAG_RULE_BT0243","1; 2","ENVMICRO","BioTransformer_env",1,2
"YXWIRQHVEQIJOV-NSHDSACASA-N","CCC1=CC=CC(C)=C1N[C@@H](C)COC","10",NA,"C13H21NO","207.162314292","TP","S-Metolachlor-TP10","S-Metolachlor","EAWAG_RULE_BT0430","1; 2","ENVMICRO","BioTransformer_env",1,2
"MXMPHDJVYOMMTN-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1NC(=O)CO","14",NA,"C11H15NO2","193.11027872","TP","S-Metolachlor-TP14; S-Metolachlor-TP6-TP3; CGA 37735","S-Metolachlor","EAWAG_RULE_BT0243; EAWAG_RULE_BT0022_PATTERN1; Environmental Transformation","2; 1","ENVMICRO; NULL","BioTransformer_env; 10.1016/j.watres.2019.114972",2,2
"RDRFDPTUOFLSKA-JTQLQIEISA-N","CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)C(=O)O","18",NA,"C14H18ClNO3","283.097521116","TP","S-Metolachlor-TP16","S-Metolachlor","EAWAG_RULE_BT0003","2","ENVMICRO","BioTransformer_env",1,2
"LIYYEUUORUOJAR-NSHDSACASA-N","CCC1=CC=CC(C)=C1N(C(=O)CO)[C@@H](C)CO","20",NA,"C14H21NO3","251.152143532","TP","S-Metolachlor-TP17","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","2","ENVMICRO","BioTransformer_env",2,3
"ATZCCGPZRASKHB-NSHDSACASA-N","CCC1=CC=CC(C)=C1N(C(=O)C)[C@@H](C)CO","21",NA,"C14H21NO2","235.157228912","TP","S-Metolachlor-TP18","S-Metolachlor","EAWAG_RULE_BT0029; EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",1,2
"BFOYPTQTOWUSDB-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1N(C(=O)CCl)C(C)(C)O","23",NA,"C14H20ClNO2","269.11825656","TP","S-Metolachlor-TP20","S-Metolachlor","EAWAG_RULE_BT0218","2","ENVMICRO","BioTransformer_env",1,2
"DNIAPMSPPWPWGF-UHFFFAOYSA-N","C(C)(CO)O","25",NA,"C3H8O2","76.052429496","TP","S-Metolachlor-TP21; S-Metolachlor-TP6-TP17","S-Metolachlor","EAWAG_RULE_BT0243; EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",2,2
"ALFXNLHLMQREPR-JTQLQIEISA-N","CCC1=CC=CC(C)=C1N[C@@H](C)CO","26",NA,"C12H19NO","193.146664228","TP","S-Metolachlor-TP22","S-Metolachlor","EAWAG_RULE_BT0430; EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",2,2
"MDJYDNVDKNLJLK-PXYINDEMSA-N","CC(C1=CC=CC(C)=C1N(C(=O)C)[C@@H](C)COC)O","32",NA,"C15H23NO3","265.167793596","TP","S-Metolachlor-TP25","S-Metolachlor","EAWAG_RULE_BT0242_PATTERN3; EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",1,3
"OEYCXAGQPZAQQE-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1NC(=O)C","33",NA,"C11H15NO","177.1153641","TP","S-Metolachlor-TP26","S-Metolachlor","EAWAG_RULE_BT0243; EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",1,1
"DANYXMFYDRFPRR-PXYINDEMSA-N","CC(C1=CC=CC(C)=C1N(C(=O)CO)[C@@H](C)COC)O","48",NA,"C15H23NO4","281.162708216","TP","S-Metolachlor-TP33","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","2","ENVMICRO","BioTransformer_env",2,4
"GORBVGOQDGEHGE-VUWPPUDQSA-N","CC(C1=CC=CC(C)=C1N(C(=O)CCl)[C@@H](C)C=O)O","49",NA,"C14H18ClNO3","283.097521116","TP","S-Metolachlor-TP34","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",1,3
"CZABLDSDDUXPSQ-VUWPPUDQSA-N","CC(C1=CC=CC(C)=C1N(C(=O)CCl)[C@@H](C)CO)O","51",NA,"C14H20ClNO3","285.11317118","TP","S-Metolachlor-TP35","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",2,3
"KTZQAUVRBLBDKH-UHFFFAOYSA-N","CC(C1=CC=CC(C)=C1NC(=O)CCl)O","54",NA,"C11H14ClNO2","227.071306368","TP","S-Metolachlor-TP36","S-Metolachlor","EAWAG_RULE_BT0243","2","ENVMICRO","BioTransformer_env",2,2
"MXKWFIUUPUYPAD-VUWPPUDQSA-N","CC(C1=CC=CC(C)=C1N[C@@H](C)COC)O","56",NA,"C13H21NO2","223.157228912","TP","S-Metolachlor-TP37","S-Metolachlor","EAWAG_RULE_BT0430","2","ENVMICRO","BioTransformer_env",2,3
"JJVKJJNCIILLRP-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1N","60",NA,"C9H13N","135.104799416","TP","S-Metolachlor-TP38; S-Metolachlor-TP1-TP18; S-Metolachlor-TP2-TP5; S-Metolachlor-TP5-TP4; S-Metolachlor-TP6-TP12; S-Metolachlor-TP5-1-TP4","S-Metolachlor","EAWAG_RULE_BT0067_PATTERN1; EAWAG_RULE_BT0063_PATTERN2","2; 1","ENVMICRO","BioTransformer_env",1,1
"BSABBBMNWQWLLU-UHFFFAOYSA-N","C(C)(C=O)O","63",NA,"C3H6O2","74.036779432","TP","S-Metolachlor-TP41; S-Metolachlor-TP6-TP15","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",1,2
"JZGSLTWUHTZSAZ-JTQLQIEISA-N","CCC1=CC=CC(C)=C1N[C@@H](C)C=O","66",NA,"C12H17NO","191.131014164","TP","S-Metolachlor-TP42","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","ENVMICRO","BioTransformer_env",1,2
"DLNFICFQUIYVBX-UHFFFAOYSA-N","NCCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","1",NA,"C11H13F13N2O2S","484.049015516","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP1; 6:2 fluorotelomer sulfonamido propyl amine","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0063_PATTERN2; Oxidative N-demethylation","1","ENVMICRO; WWTP sludge","BioTransformer_env; 10.1002/etc.3750",2,3
"BAVYZALUXZFZLV-UHFFFAOYSA-N","CN","2",NA,"CH5N","31.04219916","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP2","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0063_PATTERN2","1; 2","ENVMICRO","BioTransformer_env",1,1
